iter	RMSE
254	12.01498543
255	11.94774738
256	11.86595938
257	11.78316588
258	11.70156293
259	11.62643844
260	11.55427858
261	11.47409872
262	11.43732434
263	11.3791377
264	11.33118234
265	11.28883946
266	11.21420846
267	11.15687836
268	11.11458616
269	11.05803587
270	11.0078326
271	10.93696708
272	10.86286936
273	10.7852507
274	10.72646507
275	10.6846852
276	10.64576616
277	10.57721723
278	10.5399411
279	10.49710807
280	10.44154835
281	10.37243423
282	10.32477405
283	10.27100926
284	10.20454745
285	10.14876074
286	10.10726984
287	10.02687385
288	9.964870108
289	9.928011469
290	9.874876897
291	9.833883911
292	9.785572102
293	9.74479841
294	9.68516451
295	9.624590148
296	9.58554695
297	9.545304058
298	9.495727801
299	9.467297734
300	9.42338241
301	9.374647742
302	9.30133974
303	9.275524579
304	9.225353574
305	9.165791243
306	9.117284966
307	9.072354053
308	9.04321712
309	8.996434868
310	8.965620717
311	8.903792909
312	8.853769629
313	8.797454003
314	8.739084781
315	8.692073643
316	8.641786331
317	8.598284481
318	8.545562209
319	8.506198679
320	8.474669552
321	8.429003148
322	8.373093736
323	8.34326037
324	8.296765424
325	8.253825151
326	8.209673073
327	8.183700604
328	8.143338156
329	8.124645036
330	8.088129544
331	8.056790576
332	8.018627906
333	7.995453885
334	7.961242243
335	7.921588951
336	7.896599209
337	7.846783024
338	7.813888161
339	7.794186626
340	7.760076497
341	7.735903008
342	7.723657711
343	7.701167828
344	7.657244223
345	7.642777467
346	7.592344577
347	7.542890454
348	7.526992473
349	7.514473003
350	7.468525701
351	7.428455884
352	7.392355736
353	7.376106231
354	7.337089774
355	7.294393701
356	7.255185297
357	7.232033575
358	7.19620058
359	7.169622209
360	7.136230212
361	7.103111641
362	7.081917343
363	7.057864781
364	7.039794247
365	7.016306682
366	6.982665528
367	6.95287777
368	6.922688351
369	6.895532916
370	6.882287715
371	6.853888814
372	6.833517095
373	6.810489546
374	6.77511513
375	6.755142206
376	6.74600916
377	6.708315602
378	6.676906398
379	6.648607415
380	6.633153043
381	6.608545652
382	6.583309311
383	6.567854776
384	6.545527188
385	6.512713974
386	6.50423034
387	6.474687846
388	6.449573255
389	6.422124576
390	6.386550197
391	6.366974614
392	6.349467581
393	6.32905733
394	6.29527319
395	6.284705187
396	6.276568669
397	6.26583262
398	6.235707997
399	6.206678782
400	6.178903295
401	6.16703192
402	6.130843297
403	6.104868812
404	6.063256913
405	6.055635722
406	6.04378618
407	6.017894831
408	5.988635971
409	5.958707243
410	5.944605044
411	5.918665132
412	5.887399385
413	5.86595535
414	5.849483822
415	5.821572295
416	5.805089268
417	5.785367078
418	5.76690648
419	5.743716908
420	5.718094696
421	5.705783717
422	5.682974339
423	5.653758026
424	5.624026012
425	5.612017341
426	5.603153412
427	5.571786674
428	5.554826695
429	5.534835317
430	5.518967214
431	5.491390683
432	5.476548475
433	5.450185975
434	5.428514744
435	5.414542926
436	5.393427883
437	5.385036759
438	5.360035467
439	5.338401225
440	5.31753856
441	5.302630911
442	5.278675174
443	5.255334309
444	5.231944345
445	5.211837492
446	5.197818357
447	5.18233232
448	5.160362092
449	5.138281173
450	5.11652449
451	5.099067235
452	5.082519826
453	5.062039024
454	5.054559004
455	5.029586861
456	5.017704116
457	4.993222382
458	4.974844561
459	4.957968531
460	4.932282195
461	4.909963969
462	4.892881947
463	4.865926315
464	4.848785923
465	4.827602677
466	4.812677707
467	4.798533988
468	4.778218999
469	4.761933127
470	4.756809253
471	4.735842669
472	4.729610451
473	4.722176785
474	4.706246569
475	4.698482881
476	4.685956125
477	4.664703305
478	4.649862692
479	4.629281586
480	4.622674086
481	4.598603375
482	4.583353354
483	4.567452431
484	4.545655709
485	4.533388739
486	4.510996852
487	4.489257541
488	4.465098005
489	4.458907919
490	4.44664378
491	4.436531631
492	4.431302794
493	4.421557071
494	4.409669975
495	4.385866243
496	4.367848356
497	4.357046921
498	4.345992591
499	4.339761614
500	4.322398703
501	4.312062401
502	4.302335108
503	4.286932196
504	4.274418436
505	4.264139894
506	4.253210946
507	4.242916686
508	4.227996162
509	4.222734785
510	4.205310782
511	4.191155053
512	4.17804522
513	4.162795015
514	4.157595963
515	4.146831097
516	4.134222898
517	4.124206837
518	4.113732498
519	4.099159221
520	4.094271718
521	4.08251148
522	4.068848787
523	4.054166101
524	4.034525018
525	4.030682858
526	4.014093902
527	4.002678608
528	3.986072916
529	3.973514582
530	3.967454012
531	3.958798283
532	3.940422041
533	3.922667584
534	3.90723989
535	3.89681968
536	3.884438359
537	3.872895556
538	3.855374325
539	3.843269615
540	3.837706752
541	3.821742074
542	3.810715135
543	3.799302383
544	3.783588318
545	3.768680851
546	3.754036934
547	3.750353684
548	3.732623909
549	3.717149802
550	3.709640486
551	3.694814013
552	3.679455445
553	3.674751732
554	3.665408166
555	3.651479259
556	3.638133978
557	3.627369584
558	3.620197612
559	3.612613848
560	3.60548144
561	3.591408366
562	3.581780365
563	3.579388706
564	3.576248811
565	3.572721306
566	3.560707911
567	3.547690753
568	3.533366799
569	3.519332481
570	3.509631155
571	3.494510129
572	3.482046056
573	3.476950136
574	3.472911463
575	3.469429502
576	3.455247561
577	3.453184336
578	3.44708718
579	3.436619552
580	3.428124118
581	3.412701946
582	3.405653669
583	3.399117939
584	3.383552842
585	3.373070903
586	3.362130298
587	3.343807932
588	3.328947133
589	3.324291219
590	3.308591651
591	3.294716297
592	3.292263747
593	3.282382076
594	3.276438156
595	3.270830633
596	3.259952285
597	3.250516272
598	3.24143268
599	3.234999238
600	3.220615066
601	3.205981712
602	3.19604371
603	3.194151175
604	3.188865625
605	3.178049372
606	3.163539056
607	3.149238615
608	3.138875273
609	3.131420019
610	3.120020241
611	3.109667308
612	3.102651351
613	3.091160001
614	3.080702589
615	3.070968768
616	3.06185839
617	3.048625001
618	3.043354069
619	3.036721719
620	3.031287035
621	3.01793929
622	3.007440329
623	2.997457221
624	2.991475437
625	2.987770628
626	2.984250304
627	2.978439759
628	2.969680839
629	2.957059744
630	2.945203987
631	2.934594262
632	2.923908546
633	2.918325721
634	2.915226209
635	2.906320939
636	2.899142491
637	2.888765254
638	2.875950097
639	2.870472298
640	2.866066065
641	2.86189045
642	2.852496876
643	2.842901586
644	2.8334244
645	2.829743015
646	2.828088115
647	2.81795429
648	2.814913643
649	2.805309231
650	2.797003257
651	2.78906397
652	2.782472021
653	2.774829277
654	2.76383026
655	2.75188158
656	2.741401882
657	2.735546681
658	2.732593082
659	2.724511391
660	2.720829508
661	2.708078184
662	2.696738324
663	2.68794219
664	2.678497972
665	2.669913992
666	2.659244639
667	2.650200837
668	2.638487868
669	2.63602589
670	2.624554065
671	2.614333401
672	2.608342803
673	2.598162143
674	2.596422479
675	2.593277866
676	2.581457709
677	2.572273867
678	2.56499125
679	2.561894963
680	2.554661561
681	2.544747146
682	2.537006748
683	2.532549341
684	2.530488086
685	2.523679108
686	2.515003695
687	2.507985902
688	2.502855292
689	2.492927735
690	2.49133292
691	2.486690119
692	2.484617726
693	2.476113672
694	2.46453083
695	2.457036593
696	2.448670424
697	2.443121553
698	2.435135536
699	2.427450769
700	2.425514305
701	2.418317347
702	2.411949312
703	2.400296416
704	2.390292338
705	2.384224452
706	2.37636037
707	2.369964099
708	2.365903321
709	2.36085763
710	2.355739479
711	2.346123552
712	2.338071392
713	2.332777135
714	2.326618285
715	2.319448483
716	2.308901569
717	2.298946988
718	2.297564341
719	2.2923372
720	2.284114062
721	2.275032656
722	2.273486313
723	2.267675549
724	2.257938543
725	2.254555446
726	2.245686657
727	2.239152636
728	2.23454091
729	2.230871472
730	2.221939019
731	2.219232488
732	2.216398813
733	2.210393583
734	2.208734202
735	2.202121347
736	2.196929469
737	2.195539107
738	2.187663505
739	2.180533013
740	2.175156465
741	2.171860062
742	2.164095597
743	2.160725051
744	2.156467734
745	2.150251232
746	2.144127643
747	2.140098125
748	2.138209877
749	2.132139529
750	2.126929099
751	2.120658428
752	2.113370685
753	2.105821999
754	2.102030914
755	2.100197273
756	2.09587799
757	2.091613591
758	2.084665541
759	2.075615295
760	2.069984915
761	2.063442681
762	2.058891651
763	2.052249565
764	2.04578451
765	2.042799272
766	2.04149877
767	2.032897666
768	2.027424072
769	2.018626567
770	2.016007325
771	2.010229905
772	2.006139219
773	1.999531884
774	1.995543813
775	1.993339312
776	1.987001307
777	1.981499642
778	1.974286844
779	1.971666827
780	1.967329038
781	1.959983832
782	1.954635825
783	1.951028588
784	1.944610747
785	1.940213557
786	1.933087128
787	1.924502512
788	1.918261883
789	1.915185384
790	1.910209191
791	1.906851724
792	1.901793262
793	1.900078618
794	1.894760575
795	1.891476099
796	1.890132655
797	1.887027149
798	1.885346489
799	1.879769744
800	1.871156174
801	1.865192424
802	1.859556161
803	1.853062038
804	1.852180261
805	1.845972703
806	1.840028191
807	1.831603008
808	1.827770819
809	1.821302384
810	1.818612486
811	1.812781937
812	1.80551942
813	1.798465321
814	1.795797671
815	1.79235688
816	1.791082258
817	1.787288096
818	1.783729115
819	1.778166992
820	1.776769358
821	1.770092031
822	1.763824307
823	1.758938962
824	1.757619907
825	1.753027754
826	1.744690035
827	1.738404884
828	1.733147161
829	1.726937167
830	1.723014089
831	1.720880788
832	1.714665401
833	1.713563706
834	1.705549104
835	1.697412289
836	1.696194604
837	1.689756628
838	1.685322544
839	1.679805592
840	1.674770905
841	1.673782633
842	1.672182829
843	1.666462476
844	1.661379272
845	1.658999956
846	1.656938125
847	1.649840656
848	1.643082186
849	1.636153144
850	1.630841971
851	1.626039491
852	1.620294485
853	1.615745991
854	1.612656481
855	1.606771092
856	1.605741354
857	1.600260847
858	1.595800757
859	1.59162838
860	1.589054679
861	1.588173702
862	1.586401157
863	1.582918526
864	1.577929335
865	1.575821169
866	1.57467288
867	1.572310419
868	1.566066121
869	1.559976979
870	1.558928011
871	1.55392183
872	1.552979219
873	1.550556783
874	1.546769792
875	1.541536307
876	1.534936226
877	1.53309196
878	1.530099322
879	1.529215573
880	1.525925382
881	1.525024996
882	1.521195892
883	1.520238486
884	1.517145865
885	1.51285395
886	1.510924923
887	1.507484215
888	1.503321072
889	1.500982666
890	1.494358127
891	1.489226788
892	1.484310458
893	1.480246692
894	1.477145681
895	1.472056329
896	1.4685952
897	1.464305777
898	1.460806299
899	1.455242344
900	1.451922555
901	1.446961268
902	1.444853818
903	1.440848506
904	1.436173903
905	1.431743213
906	1.427779465
907	1.424346481
908	1.421100668
909	1.418338628
910	1.41736051
911	1.41244194
912	1.407135775
913	1.404858895
914	1.402247573
915	1.399604736
916	1.396460697
917	1.3917355
918	1.38929889
919	1.388318398
920	1.384053845
921	1.381240532
922	1.37807368
923	1.37291822
924	1.368766869
925	1.368102665
926	1.365499169
927	1.36275031
928	1.358922711
929	1.354624774
930	1.352440125
931	1.349523203
932	1.345241885
933	1.340965392
934	1.336963654
935	1.335160763
936	1.33118165
937	1.327027377
938	1.323719721
939	1.32028476
940	1.317826347
941	1.31244743
942	1.309825121
943	1.306841641
944	1.303049589
945	1.300558778
946	1.297349782
947	1.292539855
948	1.289905034
949	1.286494727
950	1.284623821
951	1.284003636
952	1.282455895
953	1.280998235
954	1.280391238
955	1.278746843
956	1.274320952
957	1.269803055
958	1.264845735
959	1.260395702
960	1.256473583
961	1.252286889
962	1.250746965
963	1.247620755
964	1.243189962
965	1.240852054
966	1.239304381
967	1.235029077
968	1.233785252
969	1.229478612
970	1.228255646
971	1.22320861
972	1.219825472
973	1.214654618
974	1.211918689
975	1.211005165
976	1.207494046
977	1.205668859
978	1.204810789
979	1.200866949
980	1.197455408
981	1.194604043
982	1.193574451
983	1.192263648
984	1.190704245
985	1.18917889
986	1.187766777
987	1.186219278
988	1.183232279
989	1.181199526
990	1.177933535
991	1.174927123
992	1.173097458
993	1.171835547
994	1.168737253
995	1.166376826
996	1.161817011
997	1.15896596
998	1.158478576
999	1.153202449
